# code: vi
# key, value

language_name, Tiếng Việt
note_properties_many_hold_notes,Đang lựa chọn nhiều hơn một Hold note
translated_by,Dịch bởi: %s
zoom_tooltip,Ctrl+Chuột Trái để chỉnh sửa

# preset manager
presets,Presets
no_presets,Không có Preset nào có sẵn
preset_name,Tên
description,Mô tả
create_preset,Tạo Preset
search,Tìm kiếm...
confirm,Xác nhận

# layer manager
layers,Layers
layer_name,Tên
create_layer,Tạo Layer
show_all_layers,Hiện tất cả Layer
layer_rename,Sửa tên Layer
layer_up,Chuyển lên trên
layer_down,Chuyển xuống dưới
layer_merge,Hợp lại Layer
layer_delete,Xóa Layer
layer_hide,Ẩn Layer
layer_show,Hiện Layer

# waypoint manager
waypoints,Waypoints
create_waypoint,Tạo Waypoint
edit_waypoint,Sửa Waypoint
waypoint_name,Tên

# commands
action,Hành động
keys,Phím
add,Tạo
cmd_key_listen,Đang chờ tín hiệu đầu vào...
new_chart,Chart mới
toggle_playback,Phát / Dừng
cancel_paste,Hủy dán
stop,Dừng
previous_tick,Tick trước
next_tick,Tick tiếp theo
timeline_select,Timeline - Chọn
timeline_tap,Timeline - Chèn Tap
timeline_hold,Timeline - Chèn Hold
timeline_hold_step,Timeline - Chèn Hold Mid
timeline_flick,Timeline - Chèn Flick
timeline_critical,Timeline - Chèn Critical
timeline_trace,Timeline - Chèn Trace
timeline_guide,Timeline - Chèn Guide
timeline_damage,Timeline - Chèn Damage
timeline_dummy,Timeline - Chèn Fake
timeline_bpm,Timeline - Chèn BPM
timeline_time_signature,Timeline - Chèn Time Signature
timeline_hi_speed,Timeline - Chèn Hi-Speed Change
zoom_in,Phóng to
zoom_out,Thu nhỏ
