# code: en
# key, value

language_name,English
timeline_context_not_selected,No timeline openned or selected
extended_score,Extended Score
note_select_tool_tip,Ctrl to select or Alt to deselect

# preset manager
presets,Presets
no_presets,No presets available
preset_name,Name
description,Description
create_preset,Create Preset
search,Search...
confirm,Confirm

# layer manager
layers,Layers
layer_name,Name
create_layer,Create Layer
show_all_layers,Show All Layers
layer_rename,Layer Rename
layer_up,Move Up
layer_down,Move Down
layer_merge,Merge Layer
layer_delete,Delete Layer
layer_hide,Hide Layer
layer_show,Show Layer
layer_change_order, Change Layer Order
layer_order_tooltip, Drag to reorder
layer_merge_warning, There are hispeeds overlaps, they'll be deleted. Do you want to merge anyways?

# waypoint manager
waypoints,Waypoints
create_waypoint,Create Waypoint
edit_waypoint,Edit Waypoint
waypoint_name,Name
insert_skill,Insert Skill
set_fever_start,Set Fever Start
set_fever_end,Set Fever End

# commands
action,Action
keys,Keys
add,Add
cmd_key_listen,Waiting for input...
new_chart,New Chart
toggle_playback,Play / Pause
cancel_paste,Cancel Paste
stop,Stop
previous_tick,Previous Tick
next_tick,Next Tick
timeline_select,Timeline - Select
timeline_tap,Timeline - Insert Tap
timeline_hold,Timeline - Insert Hold
timeline_hold_step,Timeline - Insert Hold Mid
timeline_flick,Timeline - Insert Flick
timeline_critical,Timeline - Insert Critical
timeline_trace,Timeline - Insert Trace
timeline_guide,Timeline - Insert Guide
timeline_damage,Timeline - Insert Damage
timeline_dummy,Timeline - Insert Fake
timeline_bpm,Timeline - Insert BPM
timeline_time_signature,Timeline - Insert Time Signature
timeline_hi_speed,Timeline - Insert Hi-Speed Change
zoom_in,Zoom In
zoom_out,Zoom Out
