# code: ja
# key, value

language_name, 日本語
layer_up, 上に移動
layer_down, 下に移動
layer_merge, 一つ下と結合
layer_delete, 削除
layer_hide, 非表示
layer_show, 表示

# waypoint manager
waypoints, しおり
create_waypoint, しおりを作成
edit_waypoint, しおりを編集
waypoint_name, 削除

# commands
action, コマンド
keys, キー
add, 追加
cmd_key_listen, 入力待ち中…
new_chart, 新規
toggle_playback, 再生/一時停止
cancel_paste, ペーストをキャンセル
stop, 停止
previous_tick, 元の拍子
next_tick, 次の拍子
timeline_select, タイムライン「選択」
timeline_tap, タイムライン「タップ」
timeline_hold, タイムライン「スライド」
timeline_hold_step, タイムライン「スライド中継点」
timeline_flick, タイムライン「フリック」
timeline_critical, タイムライン「クリティカル」
timeline_trace, タイムライン「トレース」
timeline_guide, タイムライン「ガイド」
timeline_damage, タイムライン「ダメージ」
timeline_dummy, タイムライン「フェイク」
timeline_bpm, タイムライン「BPM」
timeline_time_signature, タイムライン「拍子」
timeline_hi_speed, タイムライン「ハイスピード」
zoom_in, ズームイン
zoom_out, ズームアウト

# プレビュー・キーコンフィグ関連
preview, プレビュー
score_preview, 譜面プレビュー
notes_speed, ノーツの速さ
mirror_score, ミラー譜面
preview_draw_toolbar, プレビューツールバーを描く
background_brightnes, 背景の明るさ
stage_opacity, ステージの不透明度
stage_cover, ステージカバー（縦方向）
visuals, ビジュアル
flicks_animation, マーカーのアニメーション
holds_animation, ロングノーツのアニメーション
simultaneous_lines, 同時押しライン
holds_alpha, ロングノーツの不透明度
guides_alpha, ガイドノーツの不透明度
action, コマンド
keys, キー
add, 追加
remove, 削除
none, 無し
cmd_key_listen, 入力待ち中
key_config, キーコンフィグ

# レイヤー・しおり関連
new_layer, 新規レイヤー
new_folder, 新規フォルダ
create_folder, フォルダを作成
layer_merge_confirm, レイヤーの結合
layer_merge_msg, このレイヤーを一つ下のレイヤーと結合しますか？
layer_delete_confirm, レイヤーの削除
layer_delete_msg1, 本当にこのレイヤーを削除しますか？
layer_delete_msg2, 内部のノーツも全て削除されます。
sort_asc, 昇順にソート
sort_desc, 降順にソート
new_waypoint, 新規しおり
name, 名前
time, 時間

# ギャラリー関連
gallery_all, すべて
gallery_recent, 最近
gallery_favorites, お気に入り
gallery_team_projects, チーム制作
gallery_personal, 作品
gallery_no_charts, 譜面がありません。
gallery_file, ファイル名
gallery_format, 形式
gallery_title, タイトル
gallery_artist, 作曲者
gallery_author, 譜面制作者
gallery_time, 時間
gallery_combo, コンボ
gallery_move_to_folder, フォルダーへ移動
gallery_uncategorized, - (未分類)
gallery_create_new_chart, 新規譜面作成
gallery_recent_charts, 最近の譜面
gallery_more, もっと見る
gallery_all_charts, PC内のすべての譜面
gallery_add_path, パスを追加:
gallery_search_paths, 検索パス
gallery_rescan_paths, パスを再スキャン
gallery_browse_folder, フォルダを参照
gallery_path_input_hint, フォルダパスを入力して Enter
gallery_folder_dialog_open, フォルダ選択を開いています...
gallery_invalid_search_path, パスが存在しないか、フォルダではありません。
gallery_start_scan, パスをスキャン
gallery_delete_file, ファイルの削除
gallery_delete_confirm, このファイルを完全に削除しますか？
gallery_type_file, 種類: %s ファイル
gallery_type_unknown, 種類: 不明なファイル
gallery_size_kb, サイズ: %llu KB
gallery_original_location, 元の場所: %s
gallery_yes_y, はい
gallery_no_n, いいえ
gallery_show_search_paths, パスを表示
gallery_hide_search_paths, パスを隠す
gallery_search, 検索
gallery_sort, 並び替え
gallery_created, 作成日時
gallery_name_sort, 名前順
gallery_sort_ascending, 昇順
gallery_sort_descending, 降順
gallery_modified, 編集日時
gallery_return_to_editor, エディタに戻る
