# code: kr
# key, value

language_name, 한국어
show_all_layers, 모든 레이어 표시
layer_rename, 레이어 이름 바꾸기
layer_up, 레이어 올리기
layer_down, 레이어 내리기
layer_merge, 레이어 합치기
layer_delete, 레이어 지우기
layer_hide, 레이어 숨기기
layer_show, 레이어 표시하기
layer_change_order, 레이어 순서 변경
layer_order_tooltip, 드래그하여 순서를 변경하세요.
layer_merge_warning, 하이 스피드 (배속) 설정이 중첨되는 부분이 있어 해당 데이터가 삭제됩니다. 그래도 합치시겠습니까?

# waypoint manager
waypoints, 웨이포인트
create_waypoint, 웨이포인트 생성
edit_waypoint, 웨이포인트 편집
waypoint_name, 웨이포인트 이름
insert_skill, 스킬 삽입
set_fever_start, Fever 시작 지점 설정
set_fever_end, Fever 종료 지점 설정

# commands
action, 동작
keys, 키
add, 추가
cmd_key_listen, 입력을 기다리는 중...
new_chart, 새 차트 (채보)
toggle_playback, 재생 / 일시정지
cancel_paste, 붙여넣기 취소
stop, 정지
previous_tick, 이전 틱
next_tick, 다음 틱
timeline_select, 타임라인 - 선택
timeline_tap, 타임라인 - 탭 삽입
timeline_hold, 타임라인 - 홀드 삽입
timeline_hold_step, 타임라인 - 홀드 중간점 삽입
timeline_flick, 타임라인 - 플릭 삽입
timeline_critical, 타임라인 - 크리티컬 (Critical) 삽입
timeline_trace, 타임라인 - 트레이스 삽입
timeline_guide, 타임라인 - 가이드 삽입
timeline_damage, 타임라인 - 데미지 삽입
timeline_dummy, 타임라인 - 가 (Fake) 노트 삽입
timeline_bpm, 타임라인 - BPM 삽입
timeline_time_signature, 타임라인 - 박자표 삽입
timeline_hi_speed, 타임라인 - 하이 스피드 변경 삽입
zoom_in, 확대
zoom_out, 축소
