# code: ru
# key, value

# translation by Nobody (@_notfallen_), Ababik (@ababikmeoww)

language_name, Русский
hi_speed_speed, Скорость
hi_speed_skip_beat, Пропустить
hi_speed_ease, Ease
hi_speed_ease_none, None
hi_speed_ease_linear, Линейно
hi_speed_hide_notes, Скрыть ноты
fade_none, Без исчезновения
fade_in, Исчезновение (в начале)
fade_out, Исчезновение (в конце)
fade_custom, Кастом исчезновение
fade_classic, Классическое исчезновение
guide_color, Цвет гайда
guide_neutral, Нейтрально
guide_red, Красный
guide_blue, Синий
guide_green, Зелёный
guide_yellow, Жёлтый
guide_purple, Фиолетовый
guide_cyan, Голубой
guide_black, Чёрный
layer, Слой
edit_skill, Изменить Skill триггер
edit_fever,　Изменить FEVER триггер
edit_none,　Изменить
edit_event,　Изменить событие
beat, Бит
lane, Полоса
width, Ширина
advanced, Продвинутое
note_properties_note, Характеристики ноты
note_properties_hi_speed, Характеристики Hi-Speed
note_properties_hold_note, Характеристики холд ноты
note_properties_guide, Характеристики гайд ноты
note_properties_not_selected, Никаких нот или Hi-Speed не было выбрано
note_properties_mixed_value,--Mixed--
translated_by, Перевод от: %s
zoom_tooltip, Ctrl-клик чтобы изменить значение
timeline_context_not_selected, Таймлайн не открыт и не выбран
extended_score, Расширённые функции
note_select_tool_tip, Нажмите Ctrl для выделения или Alt для снятия выделения

# preset manager / менеджер пресетов
presets, Пресеты
no_presets, Нет доступных пресетов
preset_name, Имя
description, Описание
create_preset, Создать пресет
search, Поиск...
confirm, Подтвердить

# layer manager / менеджер слоёв
layers, Слой
layer_name, Имя
create_layer, Создать слой
show_all_layers, Показать все слои
layer_rename, Переименовать слой
layer_up, Передвинуть вверх
layer_down, Передвинуть вниз
layer_merge, Соединить слой
layer_delete, Удалить слой
layer_hide, Спрятать слой
layer_show, Показать слой
layer_change_order, Изменить порядок слоев
layer_order_tooltip, Зажмите для перемещения
layer_merge_warning, Обнаружены hispeed оверлапы, они будут удалены. Вы все равно хотите объединить слои?

# waypoint manager / менеджер меток
waypoints, Метки
create_waypoint, Создать метку
edit_waypoint, Изменить метку
waypoint_name, Имя
insert_skill, Создать Skill
set_fever_start, Установить начало FEVER
set_fever_end, Установить конец FEVER

# commands / команды
action, Действие
keys, Иконки
add, Добавить
cmd_key_listen, Ожидание ввода...
new_chart, Новый чарт
toggle_playback, Начать/Остановить
cancel_paste, Отменить вставку
stop, Стоп
previous_tick, Прошлый тик
next_tick, Следующий тик
timeline_select, Таймлайн - Выбрать
timeline_tap, Таймлайн - Вставьте ноту
timeline_hold, Таймлайн - Вставьте холд
timeline_hold_step, Таймлайн - Вставьте холд тик
timeline_flick, Таймлайн - Вставьте флик
timeline_critical, Таймлайн - Вставьте критикал
timeline_trace, Таймлайн - Вставьте след
timeline_guide, Таймлайн - Вставьте гайд
timeline_damage, Таймлайн - Вставьте дамаг
timeline_dummy, Таймлайн - Вставьте фейк
timeline_bpm, Таймлайн - Вставьте BPM
timeline_time_signature, Таймлайн - Вставьте отметку времени
timeline_hi_speed, Таймлайн - Вставьте Hi-Speed
zoom_in, Приблизить
zoom_out, Отдалить
